A typed name is only text. Pick an organization to link them properly.,"Ein eingegebener Name ist nur Text. Wählen Sie eine Organisation, um sie richtig zu verknüpfen."
Active,Aktiv
Active Leads,Aktive Leads
Additional notes...,Zusätzliche Notizen...
Add New,Neu hinzufügen
Address,Adresse
All Categories,Alle Kategorien
Amount,Betrag
Article,Artikel
Article Code,Artikelnummer
Article Limit,Artikellimit
Article Name,Artikelname
Articles,Artikel
Assigned To,Zugewiesen an
Basic Info,Grunddaten
Business organizer for micro businesses,Geschäftsorganizer für Kleinstunternehmen
Cancel,Abbrechen
Cancelled,Abgebrochen
Category,Kategorie
Change,Ändern
City,Ort
Clear the field and save to detach them.,"Feld leeren und speichern, um die Zuordnung aufzuheben."
Company Address,Firmenadresse
Company Email,Firmen-E-Mail
Company Information,Firmeninformationen
Company Logo,Firmenlogo
Company Name,Firmenname
Company Phone,Firmentelefon
Completed,Abgeschlossen
Compliance (Zone 2),Compliance (Zone 2)
Contact Details,Kontaktdaten
Contact Type,Kontakttyp
Customer,Kunde
Customer Limit,Kundenlimit
Customers,Kunden
Content,Inhalt
Country,Land
CRM,CRM
Currency,Währung
Dashboard,Übersicht
Date,Datum
Default Currency,Standardwährung
Default Language,Standardsprache
Defaults,Standardwerte
Description,Beschreibung
Disclaimer,Haftungsausschluss
Documents,Dokumente
documents to export,Dokumente zum Exportieren
Document Type,Dokumenttyp
Download CSV,CSV herunterladen
Draft,Entwurf
Draft Disclaimer,Entwurf-Haftungsausschluss
Draft Watermark Text,Entwurf-Wasserzeichen
Due Date,Fälligkeitsdatum
Edit in Desk,Im Desk bearbeiten
Email,E-Mail
Enable Orga Integration,Orga-Integration aktivieren
Expected Value,Erwarteter Wert
Export,Export
Exported,Exportiert
Exporting...,Exportiere...
Export now,Jetzt exportieren
Export to Tax Advisor,Export an Steuerberater
Failed to create customer,Kunde konnte nicht erstellt werden
Failed to load customer,Kunde konnte nicht geladen werden
Failed to update customer,Kunde konnte nicht aktualisiert werden
Classification,Einordnung
Organization Name,Firmenname
Street Address,Straße
What is worth remembering about this contact...,Was über diesen Kontakt erinnerungswürdig ist...
Failed to load customers. Please try again.,Kunden konnten nicht geladen werden. Bitte erneut versuchen.
Filters,Filter
First Name,Vorname
First name is required,Vorname ist erforderlich
Food,Lebensmittel
From Date,Von Datum
From Offer,Aus Angebot
From Time Entries,Aus Zeiterfassung
Full Name,Vollständiger Name
High,Hoch
Image,Bild
Inactive,Inaktiv
In Progress,In Bearbeitung
Integrations,Integrationen
Internal Notes,Interne Notizen
Invalid email address: {0},Ungültige E-Mail-Adresse: {0}
Invoice Draft,Rechnungsentwurf
Invoice Drafts,Rechnungsentwürfe
Is Draft,Ist Entwurf
Items,Positionen
just now,gerade eben
Language,Sprache
Last Name,Nachname
Link,Verknüpfen
Loading...,Wird geladen...
lost,verloren
Lost,Verloren
Low,Niedrig
Manual,Manuell
Mark as exported after download,Nach Download als exportiert markieren
Materials,Material
Medium,Mittel
Micro,Micro
Mobile,Mobil
Name,Name
New Article,Neuer Artikel
New Customer,Neuer Kunde
New Invoice Draft,Neuer Rechnungsentwurf
New Offer,Neues Angebot
New Receipt,Neuer Beleg
Next,Weiter
Next Follow-up,Nächstes Follow-up
No articles found,Keine Artikel gefunden
No customers yet,Noch keine Kunden
No customers match your search,Keine Kunden entsprechen Ihrer Suche
No invoice drafts found,Keine Rechnungsentwürfe gefunden
No offer drafts found,Keine Angebotsentwürfe gefunden
No organization linked.,Keine Organisation verknüpft.
No receipts found,Keine Belege gefunden
No recent activity,Keine aktuelle Aktivität
Nobody is linked to this organization yet.,Dieser Organisation ist noch niemand zugeordnet.
Notes,Notizen
Notes for Client,Notizen für Kunden
Offer,Angebot
Offer Draft,Angebotsentwurf
Offer Drafts,Angebotsentwürfe
Office,Büro
Only unexported,Nur nicht exportierte
Open,Offen
Organization,Organisation
Organization name,Name der Organisation
Other,Sonstiges
Page,Seite
People,Personen
Person,Person
Phone,Telefon
Potential,Potenziell
Postal Code,Postleitzahl
Preview,Vorschau
Previous,Zurück
Priority,Priorität
Qty,Menge
Quick Actions,Schnellaktionen
Rate,Preis
Receipt,Beleg
Receipt Date,Belegdatum
Receipt Image,Belegbild
Receipts,Belege
receipts not yet exported to tax advisor,Belege noch nicht an Steuerberater exportiert
Recent Activity,Aktuelle Aktivität
Reference,Referenz
Save Customer,Kunde speichern
Saving...,Speichern...
Search articles...,Artikel suchen...
Search by vendor...,Nach Lieferant suchen...
Search customers...,Kunden suchen...
Search invoice drafts...,Rechnungsentwürfe suchen...
Search offer drafts...,Angebotsentwürfe suchen...
Select...,Auswählen...
